Starting debug run...
Fetching revenue events...
Fetched 672 events.
[DEBUG] Cutoff Date: 2026-01-20T12:37:39.368Z
Event: subscription | Date: 2026-02-15T09:55:15.393+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T09:13:34.527+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T07:04:40.68+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T04:15:40.583+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T04:05:01.047+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-15T02:26:15.641+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T23:47:29.5+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T20:37:31.904+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T20:09:04.661+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T19:12:49.205+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:25:02.064+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:24:32.765+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:24:01.717+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:23:14.256+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:22:41.34+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:22:13.429+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:21:53.175+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:21:33.6+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:21:07.449+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:20:27.725+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:19:58.14+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:19:28.705+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:19:08.721+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:18:44.542+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:18:33.134+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:17:38.583+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:17:17.048+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:16:26.511+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:16:06.173+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:15:48.86+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:15:20.524+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:14:50.241+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:14:25.308+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:13:29.609+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:12:45.539+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:12:16.902+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:11:55.469+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:11:21.902+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:10:47.38+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:10:15.488+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:09:53.837+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:09:26.672+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:08:52.454+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:08:22.947+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:07:53.746+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:07:27.328+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:07:07.157+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:06:46.859+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:06:25.783+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:05:59.73+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:05:38.163+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:04:58.623+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:04:48.192+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:04:38.128+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:04:06.286+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:03:30.052+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:02:59.655+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:02:21.555+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:01:32.944+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T16:00:28.579+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:59:28.862+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:59:05.564+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:58:44.856+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:58:25.22+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:57:59.52+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:57:29.993+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:57:06.075+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:56:46.83+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:56:19.504+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:53:47.977+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:46:23.811+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:30:35.859+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:29:50.991+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:29:28.154+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:22:45.668+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:13:44.484+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T15:08:57.609+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T14:19:42.689+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-14T13:58:44.631+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-13T23:34:57.667+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-13T22:13:06.363+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-13T20:00:31.634+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-13T08:54:48.74+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-13T06:46:52.017+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-13T00:48:14.513+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-12T19:57:25.074+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-12T19:31:11.071+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-12T18:30:59.858+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:18:35.582+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:17:02.782+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:15:23.004+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:13:38.556+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:09:46.488+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:06:10.434+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T21:01:31.333+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T20:43:57.056+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T20:41:36.156+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T20:33:43.651+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T20:05:18.719+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T19:50:59.224+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T19:22:41.354+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T18:51:14.043+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: subscription | Date: 2026-02-11T18:47:53.121+00:00 | Recent: true | Amount: 2000000000 | ValUSD: 3.0000
Event: checkin_fee | Date: 2026-02-19T12:11:15.169+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T11:56:49.818+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T11:50:18.299+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T11:42:07.165+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T11:17:48.434+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T10:54:30.367+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T10:46:00.216+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T10:37:32.823+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T10:17:25.623+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:59:51.63+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:55:50.409+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:52:12.91+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:49:18.461+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:48:10.764+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:34:00.78+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:27:31.929+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T09:13:24.675+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T08:58:26.697+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T08:47:44.519+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T08:45:55.512+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T08:39:16.348+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T08:37:26.036+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T08:19:28.614+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:59:35.37+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:51:34.987+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:49:59.67+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:48:32.09+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:43:06.963+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:39:04.998+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:32:22.074+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:31:41.5+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:22:45.455+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:19:26.705+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:14:30.895+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:03:37.112+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T07:02:51.847+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T06:55:53.423+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T06:53:18.051+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
Event: checkin_fee | Date: 2026-02-19T06:49:12.026+00:00 | Recent: true | Amount: 2000000 | ValUSD: 0.0030
